Rank,Address,Balance_BC2
225,bc1qnflmq56sflu6yegxva9rjla36e4hq2faepcmyt,1088.99728866
226,bc1qnvvdemgx3x5v42dg8zmqn74djuwf3ygqvse3c3,1078.49226411
227,bc1qjq4u5mle43c53v208a2z8une6hn24qrp65hg2l,1017.01047959
228,bc1q6cztg8nz2k0564hgqydqdf535u325y9kz6zv0a,1012.53273878
229,bc1q8huvuvzwmweefanzjxjmwtrp0az94433eskad8,1011.0
230,bc1q32r2amh78f2cvjcp27w67ul394x5vh9ksayjw6,1009.06113919
231,bc1qx0ux26p2ssp3rmlgutpz47gngjlmgezyrdvxax,1000.99999859
232,bc1qgcsp64wlqqndf2p8h55c6nkzrrj0fd5vcx90d6,1000.59319541
233,bc1q6ja083yq899pw3q4zmggcye7p78ylk8gsh26uy,1000.55476226
234,bc1q9fslhhsx639yya6patv220ckdlun6a27m5qz9j,1000.51558074
235,1LuckerhAcxAAypGWggshe9PhqvcHYW2mB,1000.0
236,bc1qfy566tpnryydas3dr7fw03779nasjltrtmppkq,1000.0
237,bc1qfp02785m4yt3ut6fykg70v8zjyrxcp4wxxkl7x,1000.0
238,bc1qeysva0ujd0s4wd9uatv23nutswwyy4c63r9mgg,1000.0
239,bc1qw0d6qxrtwlgeh6yrta9t9nvcyxwyldmj6hfjkd,1000.0
240,bc1q0rgzvksy832ku09rr2qhtyekkg9wzcf5wkep35,1000.0
241,bc1qs9apk4d4s7m9knd05gggxgxs9d4fa7ggsyprje,1000.0
242,bc1qwsan7nvca4swf4vtm42zyaezg4wn50rx7hnhz3,1000.0
243,bc1qqledekgkax0zh2wpk607re5p8xe5l43e4kx3tc,1000.0
244,bc1q5rwd2pyhqzljxck9u7xr7jlxhhsc097kh9zqlr,1000.0
245,bc1qjevpztquvhs696zql2w6007d2evxsffeqqlvrh,988.99998978
246,bc1q0kucajuy8ku5qu2vultjvegxru8rr2zjhe0qjy,972.4484
247,bc1qmeh9yrhqnxnmnezadsemph3j39p5puaz0s2m5u,969.5579
248,bc1qgnstgh5y62vxvcw74v63ulmwtkvgew3mlpeu62,963.01365212
249,bc1qe9qk7d22dht757fr4v5rcdsty5hsp3dqcujsgv,956.0216
250,bc1qmxq7u96gvc54fc6f6ezvlqhl77v2ju0ngn6wsl,952.2576
251,bc1qslrd6p3q39hdnddnnfpvpaqgdwfwam3nnv2t5a,949.99998978
252,bc1q5n5jaq3n3g8j07y7c669ypnpyze95kzrealqdl,914.4747
253,bc1q3etklcaw96pszz28zm27xgcy3u2mtn2fy0ltpr,907.86870926
254,bc1quzs8a77k3mwprcluwl8jjfk05hll4yjv5ml4ts,901.99
255,16H61tkeGUQsUjmStKFAVeCj52A7SEug3G,900.10735164
256,bc1qfg9jd6pgzl3m9dhlyqnh8aq4pd4ptdtflvzemp,897.232
257,bc1qglg7fqvxyl6xpp042dudwxhgsw06wsmqkuyaje,896.65258579
258,bc1q6mj7k3myqug4n2tj7pc4p7d8jq73aae7s64tt5,892.8985
259,14Kw3V6TGBGXCibkW119AHicboTpDjSv8K,891.97265615
260,1Q1AEDpEzCTmAshJLpueTWXT1RK5mq4tug,875.1615
261,bc1qqchgazh0jafpk2fpt3jyfff0a94czghqx70e5t,869.71140834
262,bc1qrwpr76ahw3l97rws40u4387j4cccrmj77a20tx,859.99999859
263,bc1qvsvlknaneaqayjxewygsvhl8z2wthlmryvdpds,825.32597622
264,bc1qgtld452wcl2up5m6gvgpd23w5ptt2sev5c0p5a,817.0
265,bc1qvq7mf0mug6xz23cl359d7944seutrneup0yfqr,810.4
266,bc1qxex9lk4dtdazfpvdv2l0laadye962qu392hc7j,800.65889651
267,bc1q3y5yqfj2xpkscc62jx6t3qt54s6dxg953ll7dc,799.5259
268,bc1qmmwj25sgnzql30frlt563uau2v5l8umgmx6nj6,783.25503748
269,bc1qhphwvdqxdchlekfjuhm547ncf792a2wqtcgsyd,774.19252532
270,bc1qg505jn4ty03c8dmr52aumw5sv853dc36cx6y7f,768.44468734
271,bc1qnyykcrgjgnpaf3j9kagu5262equ4gt7w5pxws6,767.0
272,bc1q25ep2nqke2g25e6tczfettwtfs5mcrduy9p35e,752.14
273,12dR8UTcEDsK57LhPJrxd9rr3LGx39DWAm,751.1436769
274,1AgFj5nZ56rfnedmfzomx8RhyVVwG4o8w6,742.50094496
275,bc1q64s550e87u8whupq7fmdxv5yc54gd9080l0hlv,738.8082214
276,bc1qgmcp99d6he0p3gsgdrl5cryndhfwjtqu4zemeg,738.14823364
277,bc1qh9000xvu6rdxvxp0uxkkr6lzlcw79tx8u23k26,716.64510744
278,bc1qmw58cyzux9vzjw26zg4qnjee4sh46dk86cnf6d,704.1547
279,1Aq1edMksoxtfRHabYfCn65ex6zeRDh5Df,700.44411802
280,13HwyRiReAtVDxuiFDhCnhT8tiFtjxe2vr,700.31581346
281,bc1q5s2dtgqm2jwvpl7zhpw7lgyt2cxmm3dte9e6rj,697.93889859
282,bc1qwl82pdf56mhcnv26e6ttlld5y805s8mqn0w0pn,694.99998978
283,bc1qethkw7k3rg2emkn8zp583gxg6umy08zfgqpwke,679.315
284,bc1qm5tjjwrczfmv6tzy7j6ttjm9dy6mwfh9hz0qs6,671.00709583
285,bc1q092utrs9zfc7evgdrgqpj2fgk6gkak9fjwkgx6,667.46238658
286,bc1qk54y79cufcsqk2uvdx5jzpca0ed0xnnze7dsnv,666.69547453
287,bc1qzsnyf4zzuq2cdpdjyammzw3w9mqvahyk0xrwj7,662.44676844
288,bc1qpptjcyfe67h44whqvtnxxpug9rf67h8tl9m6kh,661.47951337
289,bc1qjps5etxantxrhql8fpvtq4crgg8df4ezcvt460,661.29392762
290,bc1qmzyjhqwz4hvx4yhkthsr5cnlk4a6k650yhuwgr,654.5127
291,bc1q0zkuht6svztq0pwx06lj7esv90kdyvdfp6jz04,652.41757179
292,bc1qtw0p642za6h529jayy5s2w8pn634wzqdve3aga,644.345659
293,bc1qjkc56uef8qmuru3qq0gfch547fr9djvgle0ejy,644.0
294,bc1q7lkyvjmgn4gdj9ja6rlqygq0gkkzs5vd7vez4k,643.5006
295,bc1qdxcawu34rua6m3gu94l3739y8pmcvxhclt0zuw,629.52625
296,bc1qka5vsf5cfa9j3ffm6kjhxezmy2k0yxhe2ftvjk,625.0
297,bc1qp4k3ggxqgahkv92jv3plln33mswrp22ewnsj3q,619.4393
298,bc1qprqy0fzazcjx9w83qqkx7gvxv63gk6p44sxa5l,616.13903984
299,bc1qhj9dmlnsghxvdwmdp2t0uhldf9l2eczjeju0m4,602.6799
300,1J5jAEhryq5PEyKefTRuDd2Mr8w2Lb5u85,600.0
301,bc1qkf738mvjyczlux5c9kvx2lncggxexlsxc0u3us,600.0
302,bc1qwgnqyytsytpcdegktqqwwft9rmu32e0d4wntyj,600.0
303,bc1qzqq35duux8ryfhhe89a8de6kphfp9fetkryys9,597.7503
304,1ErNW5n5WMMN7BTNW6RSwBx8k3gFcetsip,597.0164
305,bc1q7jqm2acn5ynjcu5zldqj46a4lqn3n7s5sk52ux,594.0
306,1CBiMJUJajFd2sk4M8L3rnPHvWAKbWXMC2,591.0005
307,bc1qs0g4u6r5dqf5r06skxpsn7yulxv2gz47s2u6h6,590.7451
308,bc1qfvj500y5vwy2srvdj476j3kq4cgfhepzx39yzu,589.99999718
309,bc1qpldz46xl6x6zwdtdjyjqgukcx7yn9k0dkpylqw,589.9694
310,bc1qyludhtngnup4y6axyqdhn79lneztwk7mwekcge,579.99997845
311,bc1qcyk0pkr5nh3mhxr05qrw822nls99gsm3wa9kuh,571.07969687
312,bc1qhn72fy9ulss40lzwky3lljg2v96ha3d0tzkwsn,557.67139058
313,bc1q8a28yn6ygfej0kpyp04uk0655knnffn0dhhjkw,557.63056527
